Date,Open_Ricard,High_Ricard,Low_Ricard,Close_Ricard,Var_Ricard,Median_Ricard,Open_Google,High_Google,Low_Google,Close_google,Var_Google,Median_Google,Open_Bitcoin,High_Bitcoin,Low_Bitcoin,Close_Bitcoin,Var_Bitcoin,Median_Bitcoin,Open_Microsoft,High_Microsoft,Low_Microsoft,Close_Microsoft,Var_Microsoft,Median_Microsoft,Open_Airbus,High_Airbus,Low_Airbus,Close_Airbus,Var_Airbus,Median_Airbus
2011-01-08,89.800003,94.720001,89.349998,94.720001,0.05537605571,92.0349995,305.413574,310.117981,302.313751,310.073273,0.01255599944,306.215866,0.32,0.45,0.309,0.4,0.25,0.3795,28.26,28.59,27.91,28.299999,-0.01048954545,28.25,23.700001,29,23.700001,26/06/18,0.1223628218,26.3500005
2011-01-15,94.720001,96.949997,94.040001,96,0.01351350281,95.494999,311.007202,319.402588,303.704681,303.938171,-0.01978597491,311.5536345,0.4,0.44,0.305,0.4199,0.04975,0.3725,28.16,28.74,28/02/18,28/02/18,-0.009893957947,28.38,26/06/18,28/04/18,26/06/18,28.299999,0.06390973684,27/05/18
2011-01-22,97.199997,97.550003,97.199997,97.550003,0.01614586458,97.375,301.82193,309.233734,297.942169,298.553192,-0.01771735015,303.5879515,0.4199,0.45,0.381,0.446,0.06215765658,0.4155,28/02/18,29.459999,27.450001,27.75,-0.009635974304,28.455,28.219999,30.049999,28.200001,30.049999,0.06183745802,29.125
2011-01-29,97.550003,97.800003,97.550003,97.800003,0.002562788235,97.675003,299.849762,305.185059,295.850769,303.51593,0.01662262583,300.517914,0.446,0.95,0.43,0.811,0.8183856502,0.69,27.77,28.110001,27.42,27.77,0.0007207207207,27.7650005,28.950001,28.950001,27.82,27.82,-0.07420961977,28.3850005
2011-02-05,97.800003,97.800003,95.32,95.32,-0.02535790311,96.5600015,303.108582,310.480621,302.636627,310.232239,0.02212835748,306.558624,0.811,01/01/18,0.8,01/07/18,0.3193588163,0.95,27.799999,28.34,27/07/18,27.25,-0.01872524307,27.705,27.700001,29.27,27.700001,29.27,0.05212077642,28.4850005
2011-02-12,93.949997,93.949997,92.050003,92.050003,-0.0343054658,93,309.655975,313.550659,308.016663,313.004211,0.008935151321,310.783661,01/07/18,01/09/18,0.7801,0.8989,-0.1599065421,0.93505,27.209999,27.370001,26/06/18,27.059999,-0.006972513761,26.9850005,29.48,30.190001,29.35,29.450001,0.006149675436,29.7700005
2011-02-19,91.199997,91.550003,90.800003,91.519997,-0.005757805353,91.175003,308.011688,310.445862,298.732025,303.04895,-0.03180551779,304.5889435,0.8989,1,0.83,0.9111,0.01357214373,0.915,26.780001,27/01/18,26.43,26.549999,-0.01884700735,26.765,28/09/18,28/09/18,28,28.15,-0.04414264706,28.45
2011-02-26,91.519997,91.519997,91.519997,91.519997,0,91.519997,303.029083,307.609283,295.671936,298.369385,-0.0154416143,301.6406095,0.9111,0.97,0.845,0.901,-0.01108550104,0.9075,26.690001,26.860001,25.799999,25.950001,-0.02259879558,26.33,28.629999,29,27.35,27.35,-0.02841918295,28.175
2011-03-05,92.550003,93.150002,90,90,-0.01660835937,91.575001,298.334625,299.89447,284.812561,286.491638,-0.03980886645,292.3535155,0.901,0.9329,0.81,0.88,-0.02330743618,0.87145,26.129999,26.27,25.35,25.68,-0.01040466241,25.81,27.25,28.049999,27/01/18,27/04/18,0.001828153565,27.5749995
2011-03-12,90,90,86.480003,89,-0.01111111111,88.2400015,284.549286,287.27655,273.858826,278.717224,-0.02713661751,280.567688,0.88,0.9197,0.71,0.8165,-0.07215909091,0.81485,25.49,25.76,24.68,24.799999,-0.03426795171,25.22,27/04/18,27/04/18,26.93,27/08/18,-0.01167883212,27.165
